"Check here to link an RSS feed to your List.","Check here to link an RSS feed to your List."
"Share List","Share List"
Back,Back
"You have no items in your wish list.","You have no items in your wish list."
"No manage stock","No manage stock"
"Email notification for prices change","Email notification for prices change"
"Hello, %customer_name","Hello, %customer_name"
"Some products in your wishlists have changed their prices recently. Please find the new prices below:","Some products in your wishlists have changed their prices recently. Please find the new prices below:"
"Do not want to receive our newsletter anymore?","Do not want to receive our newsletter anymore?"
"You can unsubscribe","You can unsubscribe"
here,here
"Take a look at %customer_name's List","Take a look at %customer_name's List"
"%customer_name wants to share this List from %store_name with you:","%customer_name wants to share this List from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all List items","View all List items"
"Recently Updated Lists","Recently Updated Lists"
items,items
Save,Save
"Update List","Update List"
"Delete List","Delete List"
"Via Mail","Via Mail"
"Via Facebook","Via Facebook"
"Via Twitter","Via Twitter"
"Via Pinterest","Via Pinterest"
"Via Linkedin","Via Linkedin"
"Via Line","Via Line"
"Via Telegram","Via Telegram"
"Enter List name","Enter List name"
"Add New Products","Add New Products"
"Your search returned no products.","Your search returned no products."
"Product Photo","Product Photo"
"Add current product","Add current product"
"Max value is","Max value is"
"Min value is","Min value is"
"Are you sure? This action can't be undone.","Are you sure? This action can't be undone."
"Choose the list for selected product","Choisissez votre liste"
"Add to List","Add to List"
"Unselect all","Unselect all"
"Select all","Select all"
"Please choose a List","Please choose a List"
"Amasty Multiple Wishlist","Amasty Multiple Wishlist"
"Multiple Wishlist","Multiple Wishlist"
Information,Information
General,General
Enabled,Enabled
"Allow List Sharing via","Allow List Sharing via"
"Customer Notifications","Customer Notifications"
"Send Price Alerts","Send Price Alerts"
"If enabled, customers will get notified about changes of product prices in their Wish and Requisition lists.","If enabled, customers will get notified about changes of product prices in their Wish and Requisition lists."
Frequency,Frequency
"Start Time","Start Time"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Select the appropriate template for the email notifications.","Select the appropriate template for the email notifications."
"List Name","List Name"
"List Type","List Type"
Comment,Comment
ID,ID
Thumbnail,Thumbnail
"Total number of Lists the item is present in","Total number of Lists the item is present in"
"Number of Wish Lists","Number of Wish Lists"
"Number of Requisition Lists","Number of Requisition Lists"
"Last time added on","Last time added on"
"Stock Qty","Stock Qty"
"Product Details and Comment","Product Details and Comment"
"Search by SKU or Product Name","Search by SKU or Product Name"
